name	country	dob	pob	height	hometown	occupation	hobbies	start_career	club_name	coach	choreographer	former_coach	practice_on_ice_low_season	low_season_practice_place	practice_on_ice_high_season	high_season_practice_place	html	first_name	last_name
Minna PARVIAINEN	FIN	1989-07-07	Vantaa	163	Espoo	student	skiing, music	1995	Espoon Taitoluisteluklubi	Jonna Ylimäki	Jonna Ylimäki	Susanna Petola, Pirjo Uimonen, Tanja Pyöriänen	28	Pajulahti and Piispala	15	Espoo	http://www.isuresults.com/bios/isufs00008116.htm	Minna	PARVIAINEN
Emmi PELTONEN	FIN	1999-11-29	Nashville USA	162	Helsinki	student	music	2002	Järvenpään SC Finland	Sirkka Kaipio, Rafael Arutunian	Mark Pillay	Virpi Horttana	18	Los Angeles/USA	17	Helsinki, Järvenpää	http://www.isuresults.com/bios/isufs00014671.htm	Emmi	PELTONEN
Noora PITKÄNEN	FIN	1994-03-07	Lappeenranta	156	Lappeenranta	student	golf	1999	Lappeenrannan Taitoluistelijat	Marina Shirshova, Viktoria Volodiniene	Anastasia Bunina	NA	24	Vierumäki and Kitee	14	Lappeenranta	http://www.isuresults.com/bios/isufs00011470.htm	Noora	PITKÄNEN
Susanna PÖYKIÖ	FIN	1982-02-22	Oulu	160	Oulu	athlete, student	reading, golfing, decorating	1985	Oulun Luistelukerho	Heidi Pöykiö	Maikki Uotila-Kraatz, Victor Kraatz	Berit Kaijomaa, Larissa Papchenko	20	Oulu, Vierumäki, Vancouver/CAN	20	Oulu	http://www.isuresults.com/bios/isufs00003126.htm	Susanna	PÖYKIÖ
Seidi RANTANEN	FIN	1995-03-31	Espoo	171	Espoo	student	cycling, being with friends, shopping, movies	1999	Espoon Jäätaiturit	Virpi Horttana	Maria McLean	, Henna Hietala, Elina Ikonen	30	Espoo, Vierumäki, Tartto	19	Espoo	http://www.isuresults.com/bios/isufs00011697.htm	Seidi	RANTANEN
Jenni SAARINEN	FIN	1999-03-09	Espoo	160	Tampere	student	skiing, sports in general, spending time with family and friends	2004	Tapparan SC	Susanna Haarala, Maaret Siromaa	Elina Ikonen	Minna Järvinen, Stefan Zins	NA	Oberstdorf/GER, in Finland	18	Tampere	http://www.isuresults.com/bios/isufs00034234.htm	Jenni	SAARINEN
Meri SAVOLAINEN	FIN	1991-01-07	Tampere	166	Tampere	NA	horseback riding, downhill skiing	1996	Koo-Vee Tampere	Minna Järvinen, Stefan Zins	Minna Järvinen, Stefan Zins	NA	24	Tampere FIN, Gramisch-Partenkirchen GER	15	Tampere	http://www.isuresults.com/bios/isufs00009048.htm	Meri	SAVOLAINEN
Timila SHRESTHA	FIN	1995-12-10	Helsinki	156	Helsinki	student	baking, music	1999	Helsingfors Skridskoklubb	Liivo Rennik, Svetlana Kriukova	Evelina Pöllänen (SP), Sari Hakola (FS)	Nuria Pirogova	29	Helsinki, Tanhuvaara, Lidköping/SWE	16	Helsinki	http://www.isuresults.com/bios/isufs00010788.htm	Timila	SHRESTHA
Krista SUHONEN	FIN	1988-06-26	Yl�järvi	161	Ylöjärvi	student	baseball	1994	Tappara	Maaret Siromaa, Susanna Haarala	Nelli Petänen	NA	NA	NA	16	Tampere	http://www.isuresults.com/bios/isufs00008111.htm	Krista	SUHONEN
Tytti TERVONEN	FIN	1983-04-30	Espoo	164	Helsinki	student	movies, biking, snowboarding	1988	Helsingin Luistelijat	Tarja Siplla, Svetlana Krioukova	Tatiana Wood	Susanna Haarala	25	Helsinki and Vierum�ki	20	Helsinki (FIN)	http://www.isuresults.com/bios/isufs00003821.htm	Tytti	TERVONEN
Emilia TOIKKANEN	FIN	1997-09-20	Helsinki	168	Helsinki	student	Jogging with dog, movies, music	2000	Helsingin Luistelijat	Tara Sipilä	Igor Liutikov, Olga Tkachenko, Pirjo Kuha	NA	23	Helsinki, Tallinn/EST	17	Helsinki	http://www.isuresults.com/bios/isufs00013746.htm	Emilia	TOIKKANEN
Cecilia TÖRN	FIN	1994-02-13	Hyvinkää	164	Hyvinkää	student	skiing, music	1999	Järvenpään FSC	Sirkka Kaipio	Maria McLean, Mia Nirhamo	NA	26	Vierumäki	16	Järvenpää	http://www.isuresults.com/bios/isufs00011252.htm	Cecilia	TÖRN
Juulia TURKKILA	FIN	1994-11-03	Helsinki	164	Helsinki	student	movies, dancing, cooking	2001	Helsingin Luistelijat	Tarja Sipilä	Shae Zukiwsky, Maria McLean	Tilu Valgemäe	25	Helsinki, Tallinn/EST	18	Helsinki	http://www.isuresults.com/bios/isufs00011695.htm	Juulia	TURKKILA
Olivia TUUVA	FIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00013808.htm	Olivia	TUUVA
Jenni VÄHÄMAA	FIN	1992-05-26	Lohja	155	Espoo	student	roller skating, snowboarding	1996	Espoon Jäätaiturit	Virpi Horttana	Maria McLean, Mia Nirhamo	Ludmilla Gangnus	24	Vierumäki, Espoo, Boston/USA, Tallinn/EST	17	Espoo	http://www.isuresults.com/bios/isufs00008901.htm	Jenni	VÄHÄMAA
Sera VÄISTÖ	FIN	1993-04-19	Joensuu	159	Joensuu	Student	roller skating, reading	1998	Joensuun Kataja ry	Nuriya Pirogova	T. Voytyuk, O. Martikainen, N. Pirogova	Tero Hämäläinen	24	Joensuu	14	Joensuu	http://www.isuresults.com/bios/isufs00010710.htm	Sera	VÄISTÖ
Nita VIIRI	FIN	1993-06-02	Espoo	164	Espoo	student	shopping, music	1996	Espoon Jäätaiturit	Virpi Horttana	Sari Hakola, Maria McLean	NA	35	Laaksolahti, Vierumäki, Joensuu	16	Espoo	http://www.isuresults.com/bios/isufs00009581.htm	Nita	VIIRI
Nea VIIRI	FIN	1996-08-13	Espoo	164	Espoo	high school student	outdoor sports, playing with her dog, music	1999	Espoo FSC	Viripi Horttana, Hanna Hietala	Maria McLean	NA	21	Espoo, Vierumäki	15	Espoo	http://www.isuresults.com/bios/isufs00012073.htm	Nea	VIIRI
Eveliina VILJANEN	FIN	1996-08-20	Pori	153	Pori	student	shopping	2001	Porin Taitoluistelu	Satu Niittynen	Elina Ikonen	NA	NA	NA	20	Pori, Vierumäki	http://www.isuresults.com/bios/isufs00013095.htm	Eveliina	VILJANEN
Nadege BOBILLIER	FRA	1988-01-22	Annecy	165	Annecy	student	skating, bicycle, shopping, cinema, swimming	1997	Sport de Glace D'Annecy	Didier and Claudine Lucine, S. Gaulaz, G. Zulini	Pasquale Camerlengo, Geraldine Zulini	NA	26	Grenoble and Albertville	24	Annecy	http://www.isuresults.com/bios/isufs00008172.htm	Nadege	BOBILLIER
Sarah BRAMMS	FRA	2001-02-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014932.htm	Sarah	BRAMMS
Julie CAGNON	FRA	1991-04-30	Tremblay-en-France	NA	Longeuil Ste Marie	student	music, spending time with friends	NA	NA	Annick Dumont	Guillemette Ancelet	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00009755.htm	Julie	CAGNON
Anne Sophie CALVEZ	FRA	1983-05-29	Nantes	162	Rennes	student	piano, drawing, design	1986	CSG Rennes	Roland Mars	Laurie May	Huguette Jouanneau	26	Anglet	26	Rennes	http://www.isuresults.com/bios/isufs00003834.htm	Anne Sophie	CALVEZ
Adeline CANAC	FRA	1990-05-20	Lagny sur Marne	158	St Maur	student	skating, dancing	1998	Club des Francais Volants	Diana Skotnicka	Olga Leonovitch	NA	27	La Roche Sur Yon	14	Paris Bercy	http://www.isuresults.com/bios/isufs00007613.htm	Adeline	CANAC
Alizee CROZET	FRA	2000-10-03	Cagnes-sur-mer	154	Villeneuve Loubet	pupil	movies, music	2008	NBAA Nice	Katia Gentelet	Benoit Richaud, Katia Gentelet	NA	NA	Nice	NA	Nice	http://www.isuresults.com/bios/isufs00014933.htm	Alizee	CROZET
Caroline DELOME SENSAT	FRA	1991-02-04	Nimes	163	Poussan	NA	sport	NA	Montpellier	Berangere and Sylvian Privie	Berangere and Sylvian Privie	NA	22	Montpellier	19	Montpellier	http://www.isuresults.com/bios/isufs00009413.htm	Caroline DELOME	SENSAT
Chloe DEPOUILLY	FRA	1990-12-06	Remis	158	Latresne	student	shopping, computers, movies	1998	SC de Villenaue D'Ornen	Nathalie and Laurent Depouilly	Romain Haguenauer, Michael Huth	NA	26	Courchevel, Annecy FRA, Oberstdorf GER	26	Villenaue D'Ornon, Annecy FRA, Oberstdorf GER	http://www.isuresults.com/bios/isufs00009930.htm	Chloe	DEPOUILLY
Gwendoline DIDIER	FRA	1986-03-10	Enghien Les Bains	159	Sannois	student	shopping, writing, reading	1990	Club Olympique de Courbevoie	Patrice Paillares	Karine Arribert, Martial Jaffredo	Philippe Pelissier	30	Font Romeu, Villars de Lans, Pralognan	26	Courbevoie	http://www.isuresults.com/bios/isufs00006176.htm	Gwendoline	DIDIER
Candice DIDIER	FRA	1988-01-15	Strasbourg	171	Paris	student	music, dance	1994	Francais Volants de Paris	Katia Krier	NA	Carole Laguerre-Laplanche	18	Montpellier, La Roche sur Yon	15	Paris	http://www.isuresults.com/bios/isufs00006182.htm	Candice	DIDIER
Laura DUTERTRE	FRA	1988-10-13	Digne Les Bains	165	Cran-Gevrier	student	sport, cinema	1995	Sports de Glace Annecy	Didier Lucine, Claudie Lucine	Sandra Garde	Andrei Berezintsev	22	Albertville	23	Annecy	http://www.isuresults.com/bios/isufs00006907.htm	Laura	DUTERTRE
Vinciane FORTIN	FRA	1990-02-27	Talence-Bordeaux	157	Villenave-D'Ornon	student	figure skating, music	1997	Skating de Villenave-D'Ornon	Laurent and Nathalie Depouilly	Laurent and Nathalie Depouilly	NA	21	Villenave D'Ornon	13	Villenave D'Ornon, Bordeaux	http://www.isuresults.com/bios/isufs00007637.htm	Vinciane	FORTIN
Camille FOUCHER	FRA	1990-09-11	Abymes, Guadeloupe	155	Orleans	student	sports, shopping, being with friends	NA	Champigny	Annick Dumont, Pierre Trente, Thierry Gasc	Guillemette Ancelet	Andrei Berezisev, Nathalie Depouilly	22	Courchevel	15	Champigny	http://www.isuresults.com/bios/isufs00007669.htm	Camille	FOUCHER
Julie FROETSCHER	FRA	2000-09-30	Nice	166	Nice	pupil	reading, dancing, music	2005	NA	Katia Gentelet	Benoit Richaud, Katia Gentelet	NA	NA	Nice	NA	Nice	http://www.isuresults.com/bios/isufs00014934.htm	Julie	FROETSCHER
Charlotte GENDREAU	FRA	1990-04-08	Toulouse	166	Rennes	student	sport, reading, movies	1996	CSG Rennes	Christine and Roland Mars	Christine and Roland Mars	Veronique Guyon, Christophe Bernard	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00008173.htm	Charlotte	GENDREAU
Lenaelle GILLERON GORRY	FRA	1995-04-23	Athis-Mons (Paris)	165	Annecy	student	biking, roller, music, dancing	2005	Annecy SC	Claude Peri	Merovee Ephrem, Aurelie Foucher	Didier and Claudine Lucine, S. Golaz, A. Berthet	26	Chambery, Annecy	26	Annecy, Paris	http://www.isuresults.com/bios/isufs00012410.htm	Lenaelle GILLERON	GORRY
Laetitia HUBERT	FRA	1974-06-23	Paris	159	Maisons-Alfort	NA	reading, music, cooking, museums	1977	Paris Olympique Club	Annick Gailhaguet, Pierre Trente	Mary Scotvold	Gilles Beyer, Jean-Roland Racle	30	in the USA	21	Champigny	http://www.isuresults.com/bios/isufs00000500.htm	Laetitia	HUBERT
Celine LACOUR	FRA	1987-12-11	Evry	156	Evry	student	movies, TV, internet, dance, golf	1995	CSGC Champigny	Annick Dumont, Pierre Trente	Olga Leonovitch, Florentine Houdiniere	K. Kriek-Beyer, A. Antonova, P. Pelissier	26	Courchevel	22	Champigny	http://www.isuresults.com/bios/isufs00005504.htm	Celine	LACOUR
Natacha LAGOUGE	FRA	2000-03-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014935.htm	Natacha	LAGOUGE
Laurine LECAVELIER	FRA	1996-04-26	Enghien Les Bains	162	Ezanville	student	music, movies	2001	CSG Garges Les Gonesse	Claude Thevenard	Fabian Bourzat, Flora Gapin	Katia Lemaire	25	Montreal, Dordrecht, La Chaux de Fonds, France	24	Paris	http://www.isuresults.com/bios/isufs00012525.htm	Laurine	LECAVELIER
Nadjma MAHAMOUD	FRA	1999-03-02	Marseille	157	Annecy	pupil	skating, travelling, sports in general, pets	2003	Marseille	Didier Lucine, Sophie Golaz	Merovee Ephrem	Phillippe Paulet, Francois Guesto	30	Annecy	24	Annecy	http://www.isuresults.com/bios/isufs00034152.htm	Nadjma	MAHAMOUD
Lena MARROCCO	FRA	1995-01-13	Saint-Aubin Les Elbeuf	162	Paris	student	dancing, roller, reading, informatics	1999	Courchevel	Annick Dumont	Catherine Glaise	D. Lucine, C. Lucine, S. Golaz, A. Berthet, F. Drieu, H. Dehors	25	Courchevel	20	Paris	http://www.isuresults.com/bios/isufs00011809.htm	Lena	MARROCCO
Mae Berenice MEITE	FRA	1994-09-21	Paris	168	Vitry sur Seine	student	playing the violin, movies,  dancing, music	1999	ES Vitry Patinage	Claude Thevenard	Laurie May	Katia Krier, Shanetta Folle, Christophe Moucheboeuf, Annick Lejeune	10	Montreal/CAN	8	Paris	http://www.isuresults.com/bios/isufs00010706.htm	Mae Berenice	MEITE
Carla MONZALI	FRA	1998-08-20	Nice	155	Nice	NA	reading, painting	2005	Nice NBAA	Katia Gentelet	Katia Gentelet	NA	NA	Nice, St. Petersburg RUS, Courchevel	NA	Nice	http://www.isuresults.com/bios/isufs00034153.htm	Carla	MONZALI
Cassandra PEROTIN	FRA	2000-12-06	Saarburg GER	159	Colmar	pupil	cooking, being with friends, movies	2007	CPARC Colmar	Xavier and Stephanie Dias	Sandra Garde	NA	20	Colmar	20	Colmar	http://www.isuresults.com/bios/isufs00014962.htm	Cassandra	PEROTIN
Clara PETIT	FRA	1988-09-30	Bordeaux	166	Bordeuax	student	NA	1996	Skating-Villenave-D'Ornon	Laurent and Nathalie Depouilly, Cornelia Paquier	NA	NA	20	Grenoble FRA, Viehla ESP	13	Villenave-D'Ornon FRA	http://www.isuresults.com/bios/isufs00007964.htm	Clara	PETIT
Aurore PONOMARENKO	FRA	1987-01-03	Maisons Laffitte	154	Cergy	Student	ballet, csatings, archery, modern jazz	1991	CSG Cergy	B. Glesser, M.-C. Okel, D. Manaud, Ron Ludington	Cecile Daniker-Rusch	NA	23	Delaware, USA and Meribel, FRA	10	Cergy	http://www.isuresults.com/bios/isufs00006177.htm	Aurore	PONOMARENKO
Marina POPOV	FRA	2000-10-21	Besancon	155	Nice	pupil	cooking, movies, shopping	2005	Nice NBAA	Katia Gentelet	Benoit Richaud, Katia Gentelet	Veronique Cartau-Treille	NA	Nice	NA	Nice	http://www.isuresults.com/bios/isufs00014931.htm	Marina	POPOV
Lea SERNA	FRA	1999-10-31	Aubagne	157	Annecy	high school student	movies, dancing, water skiing	2006	SG Annecy	Didier Lucine, Claudie Lucine, Sophie Gollaz	Merovee Ephrem	Francois Guestault	23	Annecy	26	Annecy	http://www.isuresults.com/bios/isufs00054429.htm	Lea	SERNA
Yretha SILETE	FRA	1994-08-27	Melun	165	Dammarie-Les-Lys	NA	movies, music, going out with friends, shopping	2000	CSG Dammarie-Les-Lys	Claude Peri-Thevenard	Sandra Garde	NA	22	Vaujany	25	Paris	http://www.isuresults.com/bios/isufs00011810.htm	Yretha	SILETE
Bahia TALEB	FRA	1996-12-06	Courcouronnes	149	Annecy	student	rollerblading, computer, movies, shopping	2002	CSG Avignon	D. Lucine, C. Lucine, , A. Berthet, S. Golaz	Merovee Ephrem, Aurelie Foucher	Sophie Bisroma	26	Chambery, Annecy	26	Annecy	http://www.isuresults.com/bios/isufs00012765.htm	Bahia	TALEB
Anais VENTARD	FRA	1996-09-20	Sallanches	160	Annecy	student	reading, movies, surfing	2000	SG Annecy	Didier and Claudine Lucine, A. Berthet, S. Golaz	Merovee Ephrem	Patricia Feurtet	25	Annecy	25	Chambery	http://www.isuresults.com/bios/isufs00012523.htm	Anais	VENTARD
Aurelie VERLOT	FRA	1986-04-15	Nantes	169	La Roche sur Yon	Student	swimming, reading, watching TV, music	1991	NSG Nantes	Thierry Luron	Linda Luron	Thierry Forier	24	La Roche sur Yon	18	Nantes	http://www.isuresults.com/bios/isufs00006217.htm	Aurelie	VERLOT
Pauline WANNER	FRA	2001-10-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00034908.htm	Pauline	WANNER
Anna WEINBERGER	FRA	1991-02-20	Paris	153	Boulogne-Billancourt	student	wake-board, tennis	1999	CSGC Champigny	Annick Dumont	Muriel Zazoui, Florentine Houdiniere	Jacqueline Vaudecrane	24	Courchevel	23	Campigny	http://www.isuresults.com/bios/isufs00007668.htm	Anna	WEINBERGER
Nino ABASHIDZE	GEO	1996-03-15	Tblissi	162	Tblissi	student	music, dancing	2000	Dinamo Tblissi	Marina Japaridze	Olga Mchelidze	NA	24	Tblissi	24	Tblissi	http://www.isuresults.com/bios/isufs00004333.htm	Nino	ABASHIDZE
Nia GADELIA	GEO	2000-03-05	Zugdidi	NA	Zugdidi	pupil	dancing	2008	Dinamo Tblisi	Inga Gilauri	Svetlana Sikhuralidze	Natia Bakaradze, Marina Japaridze	33	Batumi	25	Tbilisi	http://www.isuresults.com/bios/isufs00014541.htm	Nia	GADELIA
Elene GEDEVANISHVILI	GEO	1990-01-07	Tbilisi	155	Hackensack USA	student (psychology), coach	shopping, snowboarding, skiing, reading, music, designing clothes	1993	Dinamo Tbilisi	Craig Maurizi	Olga Orlova	Igor Krokavec, Brian Orser, Ghislain Briand, Eduard Pliner, Konstantin Kostin, Robin Wagner, Roman Serov, Galina Zmievskaia, E. Buianova, T. Anjaparidze	NA	Hackensack/USA	NA	Hackensack/USA	http://www.isuresults.com/bios/isufs00006528.htm	Elene	GEDEVANISHVILI
Ani LOMINADZE	GEO	1995-10-21	Tblissi	167	Tblissi	student	music, dancing	2000	Dinamo Tblissi	Marina Japaridze	Olga Mchedlidze	NA	24	Tblissi	24	Tblissi	http://www.isuresults.com/bios/isufs00012350.htm	Ani	LOMINADZE
Christiane BERGER	GER	1987-04-03	Ludwigshafen	162	Mutterstadt	student (dentistry)	reading, being with friends	1994	Mannheimer ERC	Karin Stephan	Natascha Devisch, Uschi Keszler	Peter Sczypa	24	Mannheim GER, Media PA, USA	16	Mannheim GER	http://www.isuresults.com/bios/isufs00004950.htm	Christiane	BERGER
Brigitte BLICKLING	GER	1989-04-24	Timisoara ROU	162	Bobingen	pupil	dancing, music	1998	FC Augsburg	Axel Teschemacher, Christa Winklmaier	Natascha Devisch	NA	13	Augsburg	14	Augsburg	http://www.isuresults.com/bios/isufs00009175.htm	Brigitte	BLICKLING
Lutricia BOCK	GER	1999-05-08	Chemnitz	166	Oelsnitz	high school student	ballet, dancing, baking	2005	Chemnitz EC	Viola Striegler, Ingo Steuer	Pasquale Camerlengo, Salome Brunner	Monika Scheibe, Petr Barna, Anett Pötzsch	20	Chemnitz, Toronto/CAN	22	Chemnitz, Berlin	http://www.isuresults.com/bios/isufs00013945.htm	Lutricia	BOCK
Stefanie DANKERT	GER	1985-04-01	Dresden	168	Berlin	Pupil	music, literatur	1989	TSC Berlin	Karin Hendschke	Andreas D�petell	Sabine Baess-Marbach	16	Berlin	16	Berlin	http://www.isuresults.com/bios/isufs00005483.htm	Stefanie	DANKERT
Lea Johanna DASTICH	GER	2000-04-30	Dresden	168	Dresden	pupil	dancing, reading	2003	Dresden SC	Anett Poetzsch	Vladimir Tsvetkov, Oleg Ryzhkin, Elizaveta Kokic	Annette Grassow	24	Dresden	23	Dresden	http://www.isuresults.com/bios/isufs00014621.htm	Lea Johanna	DASTICH
Andrea DIEWALD	GER	1981-12-28	Rosenheim	160	Rosenheim	pupil	music, reading	1987	ERC M�nchen	Alexander Vedenin	Sheanetta Folle, Dmitri Dmitrenko	Thomas Wieser, Karin Gaiser	22	Flims (SUI)	13	Munich	http://www.isuresults.com/bios/isufs00000007.htm	Andrea	DIEWALD
Veronika DIEWALD	GER	1984-10-05	Rosenheim	167	Rosenheim	Pupil	snowboarding	1989	ERC M�nchen	Alexander Vedenin	Uschi Kezler	Karin Gaiser	21	Munich	21	Munich	http://www.isuresults.com/bios/isufs00003435.htm	Veronika	DIEWALD
Zoya DOUCHINE	GER	1983-10-24	Moscow (RUS)	168	Munich	Pupil	reading, dancing, computer	1990	ERC M�nchen	Steffi Ruttkies	J. Folle, T. T. Katkovskaia, D. Dmitrenko	A. Vedenin, C. Winkelmeier, A. Teschenmacher	20	Munich	16	Munich	http://www.isuresults.com/bios/isufs00002387.htm	Zoya	DOUCHINE
Isabel DRESCHER	GER	1994-03-09	Dortmund	165	Holzwickede	student	swimming, sailing, shopping	1999	TSCE Dortmund	Martina Dieck	Iwo Svec	Viola Striegler	22	Dortmund	19	Dortmund	http://www.isuresults.com/bios/isufs00010395.htm	Isabel	DRESCHER
Angelika DUBINSKI	GER	1995-07-30	Georgsmarienhuette	154	Berlin	pupil	shopping, being with friends, reading	2000	Berliner Sport-Verein 1892	Lena Lazarenko	Maria Binczyk	Alexander König, Clemens Kubitza	NA	Berlin	NA	Berlin	http://www.isuresults.com/bios/isufs00012412.htm	Angelika	DUBINSKI
Annette DYTRT	GER	1983-09-07	Landshut	156	Oberstdorf	soldier	movies, family and friends, shopping, trends, her dog Mischa	1985	EC Oberstdorf	Michael Huth	Rostislav Sinicyn	K. Fajfr, I. Schindler, S. Folle, A. Vedenin, V. Kopriova, S. Ruttkies	36	Oberstdorf, Karlskrona/SWE, Hamar/NOR	32	Oberstdorf	http://www.isuresults.com/bios/isufs00002037.htm	Annette	DYTRT
Christina ERDEL	GER	1995-01-18	Düsseldorf	166	Oberstdorf	pupil	swimming, drawing, painting	1999	EC Oberstdorf	Eran Sragowicz	I. Svec, R. Sinicyn, T. Kika, M. Bogaerts	Anja Napp-Molinska	26	Oberstdorf	20	Oberstdorf	http://www.isuresults.com/bios/isufs00011572.htm	Christina	ERDEL
Natalia FARTUSHINA	GER	1997-09-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00013947.htm	Natalia	FARTUSHINA
Eva-Maria FITZE	GER	1982-05-10	Dachau	159	Chemnitz	soldier	cinema, reading, waterskiing	1989	ERC M�nchen	Karin Stephan	NA	Steffi Ruttkies, Karin Gaiser	NA	Munich	NA	Munich	http://www.isuresults.com/bios/isufs00000008.htm	Eva-Maria	FITZE
Jessica FÜSSINGER	GER	1995-09-03	Ravensburg	147	Oberstdorf	pupil	being with friends, reading	2000	EC Oberstdorf	Karel Fajfr	Frank Dehne, Iwo Svec	Verena Seibert, Silvia Janson	NA	Oberstdorf	NA	Oberstdorf	http://www.isuresults.com/bios/isufs00011600.htm	Jessica	FÜSSINGER
Caroline GÜLKE	GER	1982-11-03	Freiberg	168	Berlin	Pupil	reading, inline-skating, shopping	1988	SC Berlin	Viola Striegler	Hendryk Schamberger	Silke Heritz	9	Berlin	13	Berlin	http://www.isuresults.com/bios/isufs00003433.htm	Caroline	GÜLKE
Katharina HÄCKER	GER	1986-12-25	Mannheim	160	Mannheim	Pupil	inline skating, soccer, baseball, internet	1993	Mannheimer ERC	Karin Stephan	Uschi Kezlser	Peter Sczypa	15	Mannheim	20	Mannheim	http://www.isuresults.com/bios/isufs00004818.htm	Katharina	HÄCKER
Minami HANASHIRO	GER	1997-06-28	Yokohama JPN!	159	Berlin	NA	NA	NA	BSV 92 Berlin	Stefan Lindemann, Knut Schubert	Mark Pillay, Maria Barghoorn	NA	20	Berlin/GER, Riverside/USA	16	Berlin/GER	http://www.isuresults.com/bios/isufs00013943.htm	Minami	HANASHIRO
Sarah HECKEN	GER	1993-08-27	Mannheim	170	Berlin	soldier, athlete	jogging, reading, listerning to music	1996	Mannheimer ERC	Stefan Lindemann	Edoardo de Bernardis	Peter Sczypa	20	Mannheim, in Italy	21	Berlin	http://www.isuresults.com/bios/isufs00010394.htm	Sarah	HECKEN
Maria-Katharina HERCEG	GER	1998-03-18	Deggendorf	161	Regensburg	pupil	music	2002	EC Regensburg	Ferdinand Dedovich, Nicole Brünner	Frank Dehne	NA	19	Regensburg	19	Regensburg	http://www.isuresults.com/bios/isufs00013109.htm	Maria-Katharina	HERCEG
Annika HOCKE	GER	2000-07-16	Berlin	156	Berlin	pupil	dancing, movies	2005	SC Charlottenburg	Manuela Machon	Maria Baarghorn, Rene Lohse	NA	20	Berlin	22	Berlin	http://www.isuresults.com/bios/isufs00015049.htm	Annika	HOCKE
Sandy HOFFMANN	GER	1993-04-16	Freital	166	Freital	pupil	snowboarding, swimming, surfing, shopping	1996	Dresdener EC	Nils Koepp, Ilona Schindler	Ivo Swec, Frank Dehne	Anett Pötzsch Rauschenbach, K. Feige, E. Gutzeit	20	Erfurt, Dresden, Oberstdorf	21	Dresden and Erfurt	http://www.isuresults.com/bios/isufs00010781.htm	Sandy	HOFFMANN
Constanze KEMMNER	GER	1988-08-13	N�rtingen	168	Unterensingen	pupil	NA	1985	Stuttgarter ERC	Evelin Gutzeit	Natascha Devisch	Rolf Österreich, Friedrich Juricek	12	Stuttgart	12	Stuttgart	http://www.isuresults.com/bios/isufs00006861.htm	Constanze	KEMMNER
Mikkeline KIERKGAARD	GER	1984-05-25	Hundested (DEN)	162	Berlin	student	writing, inline skating, snow boarding	1987	SC Berlin	Henrik Walentin	Henrik Walentin, Phillip Mills (Exhibition)	Lars Dresler, Manette Olson	21	Los Angeles and Colorado Springs (USA)	18	Horsholm (DEN)	http://www.isuresults.com/bios/isufs00002287.htm	Mikkeline	KIERKGAARD
Stefanie LOTTERSCHMID	GER	1984-07-31	Munich	168	Munich	NA	swimming, reading, dancing	1990	M�nchner Eislauf-Verein	Karin Stefan	Oksana and Dmitri Dmitrenko	Franz Pieringer	24	Munich	18	Munich	http://www.isuresults.com/bios/isufs00004716.htm	Stefanie	LOTTERSCHMID
Jennifer PARKER	GER	1996-02-05	Toronto CAN	163	Toronto CAN	student	reading, playing the piano, cooking	2005	EC Oberstdorf	Brian Orser, Shin Amano	Lori Nichol	Ellen Burka	28	Toronto/CAN and Oberstdorf	25	Toronto/CAN	http://www.isuresults.com/bios/isufs00013745.htm	Jennifer	PARKER
Constanze PAULINUS	GER	1985-07-09	Berlin	NA	Erfurt	student	music, ballett, art	1990	ESC Erfurt	Ilona Schindler	Iwo Svec	NA	20	Oberstdorf and Erfurt	19	Erfurt	http://www.isuresults.com/bios/isufs00006015.htm	Constanze	PAULINUS
Carolin PETZOLD	GER	1987-12-04	Berlin	169	Chemnitz	pupil	painting, music	NA	Chemnitzer Eislauf Club	Anett Poetzsch-Rauschenbach	Diana Goolsbey	K. Reichmann, N. Koepp, A. K�nig	NA	Chemnitz	NA	Chemnitz	http://www.isuresults.com/bios/isufs00006863.htm	Carolin	PETZOLD
Julia PFRENGLE	GER	1995-05-10	Ludwigshafen	158	Ludwigshafen	pupil	inline skating, snowboarding	1998	Mannheimer ERC	Peter Sczypa, Claudia Leistner-Pfrengle	Andrea Gilardi	NA	6	Mannheim	15	Mannheim	http://www.isuresults.com/bios/isufs00011828.htm	Julia	PFRENGLE
Annabelle PRÖLSS	GER	1999-03-30	Regensburg	157	Oberstdorf	pupil	cooking and baking with friends	2005	EC Oberstdorf	Karel Fajfr	Rostislav Sinicyn	NA	21	Oberstdorf	21	Oberstdorf	http://www.isuresults.com/bios/isufs00013946.htm	Annabelle	PRÖLSS
